UDI,Machine_Age_Years,Operating_Hours,Days_Since_Last_Maintenance,Maintenance_Count_Last_Year,Energy_Consumption_kWh,Vibration_Level_mm_s,Humidity_Percent,Ambient_Dust_Level_ug_m3,Maintenance_Cost_USD
1,3,3864,315,0,57.29,1.38,64.4,11.5,185.82
2,2,3884,365,1,56.5,0.5,51.3,29.3,265.44
3,4,2817,357,1,68.59,1.01,73.3,30.6,323.02
4,5,5887,339,2,57.81,0.63,42.9,24.9,609.14
5,1,2849,347,0,46.0,2.66,34.8,12.8,50.0
6,2,2993,365,1,52.58,0.77,31.9,26.7,162.56
7,4,7631,365,3,62.81,0.6,64.5,24.3,454.1
8,3,1956,342,1,58.72,0.5,46.6,32.3,483.96
9,4,3075,309,0,48.74,0.93,53.3,23.4,313.44
10,3,5700,308,0,54.34,1.59,68.1,22.6,59.66
11,6,9579,359,3,41.02,2.14,58.9,40.9,479.54
12,6,8215,292,3,58.24,1.19,40.8,23.8,580.16
13,5,8131,321,2,68.67,2.44,74.5,18.4,447.08
14,7,11183,365,6,49.88,1.89,51.5,26.5,1025.49
15,6,7779,331,4,49.73,1.76,54.2,33.9,566.12
16,4,5630,337,2,60.96,2.14,46.4,43.3,326.06
17,6,9465,280,4,57.49,2.81,41.6,33.2,841.53
18,4,8271,272,2,53.28,2.2,57.8,21.0,461.22
19,7,8901,329,3,58.35,1.7,37.7,27.4,570.13
20,6,9378,291,5,51.35,2.59,54.0,35.3,936.74
21,6,9444,331,5,61.31,2.65,74.0,18.1,937.75
22,5,9462,294,1,61.5,2.48,64.0,14.9,542.37
23,8,12512,365,5,57.15,3.14,57.4,37.6,898.4
24,6,9441,269,4,47.54,1.56,41.8,39.1,652.61
25,6,12223,293,4,46.38,2.93,54.3,39.3,705.11
26,6,9676,254,6,50.61,3.22,45.4,34.8,1052.62
27,8,12537,309,7,52.39,2.15,72.3,45.6,1034.62
28,7,9478,289,4,49.93,2.18,49.3,32.5,760.41
29,8,12220,241,5,49.94,3.55,45.6,33.0,923.88
30,8,14154,258,5,51.11,3.69,52.4,35.6,1052.87
31,11,17551,306,6,66.98,3.83,45.6,44.4,1106.26
32,7,13304,299,4,52.82,2.88,57.8,65.1,745.31
33,7,13321,216,5,63.5,3.38,76.9,32.4,932.27
34,6,14517,242,6,53.97,3.49,55.1,33.4,898.5
35,9,13953,309,7,52.13,2.52,43.9,51.9,1120.34
36,10,13981,245,7,64.03,3.53,53.1,44.4,1427.26
37,8,12569,252,3,59.88,3.59,39.7,22.6,735.75
38,7,12025,274,3,53.12,3.97,89.5,47.8,761.55
39,7,11709,201,6,63.06,3.36,76.6,36.6,1072.63
40,10,17135,207,8,59.6,4.4,70.0,17.3,1348.28
41,10,18964,223,7,64.52,3.87,64.0,36.7,1179.45
42,10,19484,266,6,64.64,4.73,53.0,34.2,1063.54
43,8,15621,258,7,58.4,4.3,53.3,32.2,1086.54
44,9,19412,246,7,68.34,4.14,52.4,37.7,1127.01
45,9,15890,214,7,64.32,3.53,83.5,43.8,1121.99
