UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Machine_Age_Years,Operating_Hours,Days_Since_Last_Maintenance,Maintenance_Count_Last_Year,Energy_Consumption_kWh,Vibration_Level_mm_s,Humidity_Percent,Ambient_Dust_Level_ug_m3,Maintenance_Cost_USD
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,3,3864,315,0,57.29,1.38,64.4,11.5,185.82
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,2,3884,365,1,56.5,0.5,51.3,29.3,265.44
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,4,2817,357,1,68.59,1.01,73.3,30.6,323.02
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,5,5887,339,2,57.81,0.63,42.9,24.9,609.14
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,1,2849,347,0,46.0,2.66,34.8,12.8,50.0
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,2,2993,365,1,52.58,0.77,31.9,26.7,162.56
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,4,7631,365,3,62.81,0.6,64.5,24.3,454.1
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,3,1956,342,1,58.72,0.5,46.6,32.3,483.96
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,4,3075,309,0,48.74,0.93,53.3,23.4,313.44
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,3,5700,308,0,54.34,1.59,68.1,22.6,59.66
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,6,9579,359,3,41.02,2.14,58.9,40.9,479.54
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,6,8215,292,3,58.24,1.19,40.8,23.8,580.16
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,5,8131,321,2,68.67,2.44,74.5,18.4,447.08
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,7,11183,365,6,49.88,1.89,51.5,26.5,1025.49
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,6,7779,331,4,49.73,1.76,54.2,33.9,566.12
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,4,5630,337,2,60.96,2.14,46.4,43.3,326.06
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,6,9465,280,4,57.49,2.81,41.6,33.2,841.53
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,4,8271,272,2,53.28,2.2,57.8,21.0,461.22
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,7,8901,329,3,58.35,1.7,37.7,27.4,570.13
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,6,9378,291,5,51.35,2.59,54.0,35.3,936.74
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,6,9444,331,5,61.31,2.65,74.0,18.1,937.75
